date,Open,High,Low,OT,Adj Close,Volume
1/5/2021,484.5,496,482.5,491.75,491.75,219646
1/6/2021,492.5,502.75,491.5,495,495,202374
1/7/2021,495,496,487.25,494,494,185782
1/8/2021,494,499.5,492.5,496.25,496.25,163270
1/11/2021,496.5,500.5,490.25,492.25,492.25,176563
1/12/2021,491.5,517.25,489.25,517.25,517.25,248448
1/13/2021,524,541.5,522.25,524.5,524.5,327689
1/14/2021,523,536.5,519,534.25,534.25,210370
1/15/2021,534,536.5,527.75,531.5,531.5,167504
1/19/2021,531.5,534.25,523.25,526,526,188564
1/20/2021,525,526.5,512.75,522,522,217777
1/21/2021,521,531.5,519.25,524.25,524.25,169566
1/22/2021,522.5,522.75,499.25,500.5,500.5,289548
1/25/2021,500,515.5,492.5,511.5,511.5,264763
1/26/2021,513,534.25,508,532.25,532.25,232259
1/27/2021,532.5,543.75,529.5,534,534,223887
1/28/2021,533.25,550.5,529,534.5,534.5,252543
1/29/2021,534.5,553.75,533.25,547,547,279607
2/1/2021,549,555.75,539,549.25,549.25,219066
2/2/2021,549.75,552.5,540.25,543,543,175739
2/3/2021,543.25,552.5,536.5,552,552,210137
2/4/2021,552,558,547,550,550,217079
2/5/2021,548.5,552.25,545.5,548.5,548.5,216445
2/8/2021,548.75,565.75,548.75,563.75,563.75,267647
2/9/2021,565,574.25,545,556.25,556.25,390741
2/10/2021,556,556.25,531.75,534.5,534.5,285720
2/11/2021,532.25,546.5,524.75,541,541,261046
2/12/2021,541,546.25,536.75,538.75,538.75,117970
